noise_level,informative_level,num_features_level,rf_mae,gb_mae,dnn_mae,err_rf_pi,err_gb_pi,err_dnn_pi,err_rf_sv,err_gb_sv,err_dnn_sv,err_dnn_ig,err_mean,err_median,err_mode,err_box,err_tau,err_major,err_kendall,err_spearman
0,25,20,36.13994787785106,29.71193592863668,41.45457493715938,0.03376173861620402,0.030542673437579076,0.2697475262341786,0.02472052168439095,0.015109612237242609,0.01188502936289407,0.11005747460459862,0.05357375234030213,0.02863736753559366,0.05357376232282185,0.033734513575339894,0.027983217951056856,0.036448764802682825,0.019621864053476788,0.019621864053476788
0,25,60,87.85926713742094,78.82682482270512,68.36174051413907,0.05170384192121325,0.04845439292676384,0.17745612004665653,0.042204742282717554,0.03493158455295659,0.04762083976943316,0.20954701407382412,0.06823345674694313,0.04567631657184576,0.06823344620179382,0.05259084425432623,0.05701139596435993,0.05120849859022411,0.03944868878237622,0.03944868878237622
0,25,100,211.77670811835478,183.41837753879415,117.09419645534184,0.083171779509409,0.10470380594826918,0.24383462017950258,0.0873897096475901,0.07866799143991327,0.10651265005765781,0.1890040114914694,0.09471526500190305,0.0863444314266203,0.09471528544281367,0.08148647364272313,0.0844387604816133,0.09086929925346464,0.08047495202885491,0.08047495202885491
0,50,20,64.77933183669205,53.19602727635811,34.58164740367096,0.10490827253320964,0.08790057483394341,0.30059071070798843,0.07731500019094198,0.05790034467866976,0.011552230505233074,0.3233463795121664,0.08326199910477088,0.08112912784382752,0.08326206178642273,0.08311549079275919,0.09000659931180409,0.08152810233013334,0.06454485797078986,0.06454485797078986
0,50,60,168.50857969173828,158.19723589311147,88.74646898040692,0.12875837521939443,0.13202647916651966,0.22834602439774876,0.14279523875432343,0.11551224008349958,0.0973752213943239,0.24315751382342352,0.11120903468370376,0.11153662772235383,0.12825528061270627,0.10282352618222737,0.10063158267780922,0.13177415312034663,0.11120903468370376,0.10559360484365624
0,50,100,304.02637700263483,270.9281099050905,171.8569434983697,0.18222562116401783,0.18533400426215774,0.29880770920945254,0.16600331633279278,0.1457542436096319,0.18394386299997034,0.19449060966871573,0.14557620246957498,0.17154942603343493,0.1745979184946486,0.14565172804124926,0.16222504003816404,0.18073146661271372,0.1472707170096674,0.1472707170096674
0,75,20,77.42264903548372,64.99466668249866,41.80152573192241,0.1809304263710315,0.15830487355948364,0.24709061427384457,0.14171252533119028,0.10857584249509178,0.018245909538786513,0.3560681638770046,0.11136704679488288,0.14573744085379575,0.11136701754448979,0.13816688191994225,0.1477887697782115,0.14892761731787124,0.12060008930831742,0.12060008930831742
0,75,60,226.07258399771166,217.83635001882573,97.36969830285146,0.27046772541645725,0.20675972533150444,0.35590265711542146,0.28533484938211967,0.2389238997704109,0.15533348894342333,0.32238612782729104,0.2255657312650293,0.2570841219860584,0.22556576144937487,0.2187912917487249,0.25516842475454105,0.27342936743786894,0.21992895388241948,0.21992895388241948
0,75,100,325.20489377191717,309.61344403104783,153.5420700522022,0.21586117179752737,0.20957000013994326,0.3108842620830226,0.23855874838221935,0.225337654605372,0.14195668659703112,0.21933944795595595,0.16881083614560433,0.19238120585493904,0.1688108391930056,0.17226697691464138,0.180760063384244,0.21422967379138327,0.16359261152825474,0.16359261152825474
0,100,20,137.3565429838248,123.74346814981183,63.42390141503689,0.30191556546285697,0.23285592714947737,0.39310090465616765,0.2782900421612692,0.21797937970542597,0.11913080413266848,0.29886492045178376,0.23146305960221092,0.24441845402482482,0.22894321516906158,0.22555548768581296,0.2355909578669443,0.22547027690371163,0.22976328995781253,0.22976328995781253
0,100,60,276.3369636135905,279.0204760160492,127.52827462941674,0.38840545991956366,0.30982782346007265,0.36096718792490623,0.3876897694549553,0.3362255208255307,0.19818084679742665,0.3111851055617879,0.2981102841861428,0.35566543463358186,0.29811027775088994,0.3334953536010197,0.34544243396629226,0.36395112231587884,0.34245496886722093,0.34245496886722093
0,100,100,347.97129750918066,335.95055633261285,229.26458542690008,0.3315416528371695,0.2798170871619541,0.3226098241967227,0.309688638264469,0.2877701634901078,0.20387585637381483,0.2911689863583222,0.2565085112677185,0.2720819330483438,0.25650852163292126,0.26727676072209117,0.2674677400541777,0.29041258416743576,0.2656863099806041,0.2656863099806041
4,25,20,24.677505520224393,22.43446853715991,36.53062273465588,0.02791843703139818,0.02646454682820725,0.24542214196617357,0.014091775961631445,0.01022293329247893,0.006442281414609357,0.1927310863608473,0.05517638764297868,0.01280229162746572,0.055176385833762574,0.024852887267871195,0.02320931172817222,0.04522073180464094,0.013725447566903814,0.016480232903845572
4,25,60,116.66370601389126,104.56526972083492,66.1302375583611,0.05230451033710559,0.0619785407036006,0.2362274699254238,0.045511755317656034,0.04168141127382066,0.05441544434400923,0.22811853787358238,0.07273338625243872,0.04735739298138432,0.07273337069995928,0.04484256893904746,0.04598844117946064,0.061123887560834346,0.04361133738029092,0.04361133738029092
4,25,100,164.17336657642443,150.1599698796765,90.1899558108384,0.09564997080003745,0.0921356407034386,0.20550075010709812,0.09409392815648322,0.08322866240053614,0.09442278187021698,0.22323016449371752,0.1094093391346082,0.09450915578082286,0.10940932928122434,0.09422001525138851,0.0899643388254702,0.08349779390963792,0.08228876562108865,0.08228876562108865
4,50,20,47.30181397660836,43.63025046503216,34.73526068826595,0.05985510714820934,0.05591636613657891,0.31300334492806703,0.05525889849664321,0.0473749431369641,0.017452620564202128,0.26662379378730694,0.07033623932388125,0.0531194084134322,0.07033628490400282,0.05366122450301471,0.06271050697450017,0.07149441287588185,0.04344818236593847,0.04344818236593847
4,50,60,198.86776177253785,185.80377328958292,119.74225376022096,0.17035063944585407,0.1573700155478376,0.34479287339045095,0.16563044882115474,0.15772498841400392,0.11687922917423517,0.21140758159087117,0.14603707391847714,0.14462885893546554,0.14603706089475318,0.1391002711467986,0.14701350899065316,0.16030389427643943,0.12918916777010542,0.12918916777010542
4,50,100,285.7436735077019,278.2805496242636,144.1779867416653,0.2028408509029222,0.19940445789052558,0.3116877358376851,0.2092049350375218,0.19978190508422788,0.1256848838324874,0.1926193007526849,0.16263913283936338,0.2008865527249224,0.1626391388544819,0.16190628853743985,0.16552861413376735,0.20915761722878012,0.16072508910916575,0.16072508910916575
4,75,20,122.70485838604283,106.39408694747792,55.796191337482085,0.24490334735542282,0.13669352662911782,0.36769634775065635,0.25619917300344086,0.19744141891009862,0.043397785284728374,0.41232709116332283,0.2034839832441603,0.20766714222596128,0.2034839387515773,0.21549035453225263,0.21077943592285267,0.1780231936281635,0.16929154590538448,0.16929154590538448
