actual_coef,non_sig_ratio,noise_level,informative_level,num_features_level,rf_mae,gb_mae,dnn_mae,err_rf_pi,err_gb_pi,err_dnn_pi,err_rf_sv,err_gb_sv,err_dnn_sv,err_dnn_ig,err_mean,err_median,err_mode,err_box,err_tau,err_major,err_kendall,err_spearman
"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.5624453  0.
 1.         0.         0.95126923 0.         0.         0.
 0.42705638 0.        ]",0.14285714285714285,0,20,20,28.67258061025323,23.391636119587673,39.233182881488254,0.0307393864648005,0.024633764400230955,0.2049795744177314,0.027874910704452287,0.017050474774607183,0.01108794915593717,0.2718945079725463,0.067035036997971,0.02316452636333879,0.06703502361807598,0.024938538978568507,0.01937720038340579,0.05860734718454156,0.022453195544321493,0.026143994130783867
"[0.13921249 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.73095012 0.
 0.09397097 0.         0.         0.         0.67186168 0.65426877
 0.         0.06339111 0.         0.         0.         0.03445941
 0.         0.         0.         0.         0.         0.482378
 0.         1.         0.82723079 0.         0.         0.
 0.         0.         0.55332202 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.10180018 0.         0.         0.         0.        ]",0.14285714285714285,0,20,60,79.72503911377709,68.95844678753414,55.35910812137045,0.04169288762897548,0.03650552389005719,0.129262166780867,0.03695374239828609,0.029031870170472533,0.06250923455342774,0.08903354884813611,0.043449496673434666,0.034553097791856426,0.04344949844788543,0.03885256138202506,0.037599377753446954,0.04242885232336646,0.03560877472201503,0.03560877472201503
"[0.         0.32726922 0.         0.56167387 0.         0.
 0.         0.         0.         0.         0.         0.72362426
 0.         0.         0.37463784 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.68353519 0.         0.31566292
 0.49577674 0.         0.         0.00571824 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.72290177 0.         0.64622919
 0.         0.         0.         0.         0.         0.
 0.         0.81848809 0.         0.80120916 0.         0.
 0.39298969 0.46919708 0.         0.         1.         0.
 0.         0.         0.         0.         0.         0.84587813
 0.         0.13557553 0.15394354 0.         0.         0.
 0.         0.         0.91080735 0.         0.         0.
 0.         0.         0.         0.77986887 0.         0.
 0.         0.         0.         0.        ]",0.14285714285714285,0,20,100,157.3728383911429,145.64082566951544,91.45145898238283,0.08299475071875693,0.09013168290576551,0.17911329860869743,0.0759404734246971,0.06932099317217259,0.10066012910802705,0.20232367476856092,0.0991013036090077,0.08259857919545001,0.09910129374701786,0.08659000775186465,0.08328531101815803,0.08429681179154977,0.07322137120963627,0.07322137120963627
"[0.         0.         0.23053208 0.42833503 0.12013676 0.35305021
 0.         0.         0.         0.11100189 0.         0.
 0.7995882  0.         0.         1.         0.         0.
 0.         0.35947742]",0.14285714285714285,0,40,20,45.09025753524138,36.24971327757064,37.87183767521403,0.06870023863409788,0.0538319754961009,0.2135820969004733,0.053636677545017816,0.03652027722342993,0.011627274883984793,0.1537285887725493,0.05125379632167891,0.04882681123581145,0.05125380328439936,0.04873151075114539,0.04366180706964695,0.05692216526536845,0.04226160313978401,0.04226160313978401
"[0.         0.45244955 0.         0.         0.         0.
 0.07066534 0.         0.40024654 0.         0.24600772 1.
 0.         0.         0.         0.         0.         0.1785899
 0.         0.         0.48854681 0.         0.         0.
 0.76863123 0.         0.40555784 0.92088546 0.         0.
 0.56405998 0.46933018 0.         0.         0.2079444  0.
 0.53086269 0.         0.13159519 0.18127535 0.         0.06786256
 0.         0.6935035  0.         0.         0.         0.66111127
 0.         0.25600446 0.80764479 0.         0.55087099 0.
 0.         0.69059866 0.         0.         0.95868941 0.        ]",0.14285714285714285,0,40,60,154.91654732022423,135.66150079031576,83.30590204839434,0.1291319164634155,0.11971445021841003,0.28842034630526864,0.13538670702437833,0.11580664396735887,0.06555919041110973,0.19130715337163404,0.13456937927945567,0.12712570922951827,0.13456938642325816,0.12826835821117746,0.12555783203468554,0.1214820336463955,0.1110826210024022,0.1110826210024022
"[0.78537918 0.         0.         0.         0.         0.
 0.         0.79271641 0.         0.91406181 0.69566983 0.
 0.         0.         0.         0.26453015 0.         0.
 0.65455315 0.09606479 0.2530387  0.         0.02165714 0.
 0.74877699 0.57631597 0.5969344  0.         0.         0.
 0.         0.02494478 0.         0.         0.         0.43122696
 0.         0.         0.         0.49795864 0.         0.29206769
 0.         0.         0.         0.         0.         0.13829641
 0.         0.         0.         0.         0.48675666 0.43483708
 0.9858321  0.4929036  0.06143184 0.         0.42546878 0.51322248
 0.46089655 0.         0.         0.         0.         0.9861932
 0.         0.56199257 0.         0.         0.         0.
 0.         0.         0.         0.71588251 0.         0.
 0.46078778 0.6033445  0.39799605 0.         0.61072427 0.25824223
 0.         0.         0.1824993  0.         0.48014001 0.34440829
 0.604421   0.19451129 0.         0.         0.         0.
 0.         1.         0.66095637 0.        ]",0.14285714285714285,0,40,100,190.62749241380257,176.01807328055907,105.61840638795279,0.1451705109820762,0.13913194360847553,0.22606181619061372,0.13262716877438688,0.11925399280463628,0.16037227149274622,0.18665055215158408,0.1269542019468407,0.1372719343621677,0.15020118562307527,0.12837343330820883,0.12395495296377876,0.1406649813925415,0.12701193764266747,0.12701193764266747
"[0.         0.31603876 0.         0.56349027 0.         1.
 0.30337338 0.1531848  0.64655899 0.         0.42489265 0.
 0.98647765 0.         0.         0.50441523 0.16446593 0.69857152
 0.         0.10740608]",0.14285714285714285,0,60,20,77.418386517947,66.22012331791025,51.02603728373804,0.14128647824048304,0.11333872726799563,0.28983819424554447,0.12676250471373102,0.08827384822961766,0.021802102148032586,0.2870074502850665,0.07504865620197569,0.11027344482305146,0.07504865986981824,0.0802893552244654,0.09347729735616142,0.08977717878127921,0.09297848251842442,0.09297848251842442
"[0.03013367 0.63635872 0.         0.         0.88112829 0.19928125
 0.         0.         0.04275194 0.         0.48161523 0.04225304
 0.         0.0743825  0.80662517 0.92015525 0.97231204 0.
 0.         0.44990017 0.02912134 0.25225465 0.37020128 0.
 0.39011995 0.23454488 0.         0.         0.         0.
 0.26131477 0.         0.84626869 0.         0.8400875  0.
 0.         0.97732223 0.39144402 0.52613009 0.24038464 0.6431315
 0.         0.80453246 0.42834496 0.         0.         0.
 0.6772072  0.         1.         0.50003337 0.92255914 0.49643218
 0.44832587 0.93215967 0.91419937 0.         0.63245312 0.        ]",0.14285714285714285,0,60,60,227.7062733404264,216.3037518969846,127.15026280428206,0.21511875842618233,0.19219838060405084,0.2838192737638705,0.21113243216596347,0.18186788049663102,0.11633389295356296,0.20621259529835276,0.12075133242989458,0.18895309895259263,0.1207513248137851,0.14904600363962148,0.15207147681948965,0.18426874255147416,0.12999508461574602,0.12999508461574602
"[0.         0.87643373 0.         0.         0.23241999 0.
 0.         0.51841981 0.39542219 0.93029258 0.59291229 0.
 0.         0.91730181 0.34087068 0.         0.34502823 0.06778281
 0.         0.85998606 0.         0.         0.         0.2018524
 0.         0.33289728 0.78021771 0.         0.13557918 0.
 0.42356678 0.         0.16467149 0.         0.         0.
 0.07333801 0.35189959 0.         1.         0.6378113  0.12414936
 0.09423011 0.61283449 0.24020538 0.4986081  0.80777997 0.
 0.69093491 0.51553018 0.07191395 0.28674708 0.91042148 0.
 0.         0.85807799 0.         0.         0.         0.2615658
 0.7589249  0.00493438 0.         0.         0.34024636 0.941102
 0.         0.         0.30393126 0.98953076 0.69635286 0.90657517
 0.25963091 0.         0.86175334 0.25084554 0.6038379  0.4971009
 0.22980825 0.70736103 0.         0.53314106 0.64813047 0.
 0.         0.28113953 0.51289232 0.         0.49631411 0.38275338
 0.         0.28276773 0.13245596 0.50522791 0.         0.
 0.         0.09606551 0.         0.12904882]",0.14285714285714285,0,60,100,287.6548492718804,274.1974397851074,138.67356110423805,0.21129247489065645,0.18768117165818868,0.3034519735950797,0.21036069237691712,0.19332096324323284,0.15422898308554675,0.24731796207805576,0.17977777004957132,0.20301401595084326,0.17977777176253185,0.1796821452421673,0.18296326303904714,0.20697510054508472,0.17075308661628152,0.17075308661628152
"[0.13614805 0.56769283 0.90509495 0.         0.         0.50530995
 0.3956279  0.49910766 0.80030732 0.36444691 0.         0.05550479
 1.         0.         0.88306719 0.29355135 0.1997091  0.61199168
 0.72075957 0.41154346]",0.14285714285714285,0,80,20,101.53080439295375,94.32180008742569,49.800765630563575,0.22225713378373077,0.19510681061795135,0.3393976704492637,0.1660207463798995,0.1273335078803908,0.037231036612949096,0.29604971643722644,0.15902770133325056,0.1726545251747981,0.14794327907694005,0.15651477874038078,0.16280165357230839,0.16508943351359456,0.14859428618434542,0.14859428618434542
"[0.95680128 0.92308566 0.89347613 0.18847936 0.89393318 0.50786641
 0.33760844 0.         0.46719193 0.         1.         0.27074074
 0.         0.         0.60001001 0.         0.70366186 0.92706398
 0.24873494 0.16080258 0.13689091 0.49365131 0.02037497 0.09293692
 0.46534071 0.11657356 0.05081967 0.83362824 0.04164757 0.09325677
 0.         0.804604   0.         0.22012189 0.89973745 0.57654138
 0.20874047 0.56511806 0.         0.29785337 0.01098596 0.67070242
 0.88488148 0.         0.93275034 0.         0.15892513 0.03019035
 0.53483979 0.22112131 0.97167518 0.3570873  0.11637358 0.67895732
 0.         0.04402905 0.24933065 0.         0.58559351 0.79677485]",0.14285714285714285,0,80,60,213.42985130125118,212.4719377240623,133.04056367181943,0.3051980524415774,0.25498180617833816,0.3263267570315156,0.2642979102597197,0.232111203673869,0.11785440828094378,0.252235011275943,0.2131170679403436,0.24806420648359168,0.2131170613884636,0.22926550271503304,0.23760831774253593,0.2809539166475253,0.21218286105727727,0.21218286105727727
"[0.         0.41092808 0.5819508  0.53436673 0.         0.63283172
 0.         0.95364244 0.         0.64718895 0.42248643 0.39648484
 0.         0.08160609 0.899522   0.         0.25925031 0.25468574
 0.53909708 0.         0.01713611 0.50886228 0.80778967 0.81602163
 0.12126063 0.42040992 0.11717865 0.40541573 0.31084167 0.
 0.29992284 0.44642087 0.3795313  0.33938489 0.28882265 0.15166709
 0.86354733 0.19975758 0.1271215  0.34370826 0.40169829 0.
 0.3028309  0.87138158 0.         0.         0.         0.
 0.40326364 0.         0.55647341 0.         0.70162531 0.93353569
 0.98044955 0.17889153 0.52273719 0.35047547 0.         0.62654723
 0.         0.84772979 0.66950001 0.43390817 0.41258195 0.51591489
 0.61854802 0.         0.11308867 0.1925688  0.77528083 0.39750355
 0.         0.40645846 0.73213601 0.34638577 0.45793636 0.04472799
 0.01257459 0.37892132 0.61194763 0.66403839 0.5467627  0.85115072
 0.75101189 0.40371206 0.65509282 0.15833914 0.24120431 1.
 0.69500729 0.         0.95357839 0.95270253 0.72665473 0.02367439
 0.15618392 0.3199805  0.4586647  0.82323016]",0.14285714285714285,0,80,100,325.1416334637607,320.98083783382657,151.53785264249052,0.3066268372674206,0.2676738248973149,0.31894705536148066,0.28609184389518677,0.24775312385992915,0.18497887235698193,0.27864352034461637,0.19665907716086337,0.2566619218571191,0.196658911028007,0.22200767271308813,0.25288809957572583,0.27432542672273846,0.23551058101242028,0.23551058101242028
"[0.88882156 0.69088665 0.44631314 0.61882901 0.96087927 0.39177395
 0.96329194 0.39158052 0.         0.97971949 0.8749172  0.24983384
 0.3240934  0.00418409 0.92478071 0.09092159 0.1148742  0.74826015
 1.         0.77560184]",0.14285714285714285,0,100,20,130.79016534506127,117.52313047227342,57.69487530813087,0.28826769949764763,0.21965054588186644,0.46063921355311005,0.2624676209913802,0.19391544445587,0.02737221315454193,0.45412898408811386,0.17418630582467984,0.20120319781943405,0.1741862924975425,0.19019041252326274,0.19492362613371986,0.21729947445542036,0.1780039614528755,0.1780039614528755
