actual_coef,non_sig_ratio,noise_level,informative_level,num_features_level,rf_mae,gb_mae,dnn_mae,err_rf_pi,err_gb_pi,err_dnn_pi,err_rf_sv,err_gb_sv,err_dnn_sv,err_dnn_ig,err_mean,err_median,err_mode,err_box,err_tau,err_major,err_kendall,err_spearman
"[0.         0.94892938 0.         0.         0.         0.
 0.         0.         0.         0.         1.         0.
 0.         0.         0.12316649 0.74297632 0.         0.
 0.         0.        ]",0.14285714285714285,0,20,20,22.010879923075333,19.776995217088423,39.18954124153404,0.01461305792035537,0.016554299943219494,0.2837056889472223,0.015156557510638505,0.012102004587910307,0.017938911469483235,0.21162031854559551,0.06506289668287105,0.01728103380566428,0.06506292689809993,0.03981143627436901,0.039372344720671956,0.04505846320338072,0.015342701053837468,0.01526742767594225
"[0.         0.16436542 0.         0.         0.         0.51834234
 0.         0.         0.96603807 0.         0.         0.
 0.         1.         0.         0.65642308 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.81477553 0.         0.
 0.         0.         0.         0.         0.         0.87013276
 0.27139537 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.78631497 0.
 0.         0.         0.24637074 0.         0.96064996 0.03802052]",0.14285714285714285,0,20,60,87.21924427429519,74.9962794088207,59.91524744778355,0.04821501678896668,0.05181603378803704,0.17374369048928384,0.04906239326690307,0.038160483613265246,0.0531183943459952,0.23986940269912999,0.07976369053198318,0.047576560024838115,0.07976367995600261,0.05768823901707841,0.05600156824615352,0.04779605721330131,0.04011572980212179,0.04011572980212179
"[0.         0.32845477 0.         0.         0.         0.
 0.95427819 0.74528229 0.         0.84155161 0.15769176 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.60634214 0.72281949 0.48924154
 0.         0.         0.         0.         0.93701297 0.
 0.         0.         0.76140235 0.         0.         0.
 0.         0.         0.65644131 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.50044456 0.         0.84652642 0.         0.         0.
 0.         0.87359574 0.         0.         1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.31188367 0.96823552 0.         0.57781528
 0.         0.         0.         0.20073908 0.911303   0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0.14285714285714285,0,20,100,193.22443081248886,197.7639455076209,102.94418125676987,0.09400384871308316,0.17646499580296549,0.25054155366654424,0.08243030532273522,0.07577504815419597,0.09443938129552402,0.14088278270259008,0.09118949603527775,0.08983865909318033,0.09118949221886957,0.09763049919384285,0.10184062581567854,0.09302633933538465,0.07390671330325638,0.07390671330325638
"[0.         0.00862354 0.79122669 0.         0.61805355 1.
 0.98596974 0.         0.         0.28200161 0.95330032 0.
 0.         0.         0.         0.         0.         0.80419624
 0.         0.        ]",0.14285714285714285,0,40,20,71.14479458567537,62.884838009192556,37.67543453327988,0.0904768816497136,0.07001386499343537,0.5143495594004156,0.08081044614885363,0.05515044395795271,0.019910847637185203,0.37493298252620877,0.12343226352657663,0.08039935578084074,0.12343233202982107,0.10851289708596475,0.09204802373538584,0.09914641561915002,0.058470958396332415,0.058470958396332415
"[0.87388989 0.         0.25261631 0.         0.3219261  0.
 0.         0.         0.31910374 0.50083058 0.         0.09379279
 0.39296313 0.         0.         0.         0.         0.
 0.         0.         0.         0.5775941  0.         0.48970525
 0.         0.05818616 0.         0.         0.         0.4256076
 0.60888134 0.         0.         0.99604969 0.         0.
 0.41592577 1.         0.02402656 0.43009117 0.         0.14352737
 0.         0.         0.51378564 0.         0.         0.247442
 0.50559959 0.938081   0.         0.         0.         0.
 0.         0.         0.45119565 0.48000251 0.         0.        ]",0.14285714285714285,0,40,60,116.24149498730073,106.25537407407629,70.57793691390835,0.12978688103352976,0.1235267574354235,0.24498863378700736,0.11369236389341325,0.09472383202542689,0.07341143390164098,0.22558015185038147,0.11529209614169088,0.11534024817970996,0.11529209260854593,0.11243520530768433,0.11709998442626782,0.10195055348886874,0.09965555595172855,0.09965555595172855
"[0.         0.         0.         0.         0.         0.
 0.51595968 0.3626693  0.24567368 0.         0.93505963 0.92879763
 0.         0.         0.         0.         0.89826531 0.
 0.         0.         0.         0.35262397 0.70638232 0.
 0.59591225 0.         0.         0.58647329 0.         0.0718667
 0.         0.         0.         0.87326601 0.         0.
 1.         0.15918938 0.19656872 0.8307375  0.152839   0.10198222
 0.         0.47406007 0.         0.         0.         0.63911657
 0.         0.         0.         0.         0.28493235 0.
 0.08378873 0.91293814 0.         0.3679076  0.50259525 0.
 0.         0.         0.4811302  0.         0.1318808  0.
 0.1854753  0.6111289  0.93711482 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.81826378 0.         0.17833935 0.
 0.         0.68515972 0.         0.30010858 0.96146033 0.53001492
 0.         0.98268836 0.55325626 0.         0.         0.
 0.         0.25936785 0.15850316 0.        ]",0.14285714285714285,0,40,100,240.0231159286321,237.8033810988838,110.18733879189989,0.15311053292625712,0.18930022600769308,0.2784328577205204,0.16134130560890975,0.1426449211176848,0.14079529845834673,0.1995809997245101,0.13885092046651562,0.1517776729683841,0.13885090938078656,0.14353251508802553,0.1561207681444104,0.1374371206797985,0.13436357919701672,0.13436357919701672
"[0.         0.         0.68914516 0.95951131 0.         0.
 0.06673982 0.54179192 0.         0.27214938 0.         1.
 0.         0.5336109  0.67249691 0.         0.54437852 0.76138437
 0.77318987 0.95161417]",0.14285714285714285,0,60,20,101.52240604943634,87.37804522170057,57.18603446096826,0.20393686888494442,0.16886251685013853,0.48466573125760615,0.18639739338472602,0.15055100907580457,0.03479146852110055,0.3437138634537559,0.16770914977612242,0.17020773239051276,0.1677090811801483,0.17551732358509398,0.19315031875769043,0.1561914332819247,0.14837763418584987,0.14837763418584987
"[0.         0.15338098 0.         0.39148641 0.         0.13287236
 1.         0.09668823 0.52503121 0.         0.77433274 0.78117088
 0.         0.2297202  0.         0.         0.         0.30566158
 0.62644193 0.         0.         0.23111403 0.73883273 0.
 0.55729047 0.77154682 0.         0.89649598 0.         0.
 0.86799144 0.70605925 0.11532028 0.         0.22694952 0.78154624
 0.98079294 0.6349788  0.92016475 0.62186374 0.51477445 0.
 0.95135893 0.01859672 0.         0.         0.18644364 0.
 0.         0.67130003 0.         0.46666923 0.78716306 0.
 0.         0.14478089 0.68756497 0.         0.81868535 0.50112148]",0.14285714285714285,0,60,60,244.96559117988355,227.76807147660003,142.24127629736066,0.22729769161883068,0.20574360101397104,0.3220114084348881,0.23441532267360352,0.2090132888973618,0.16443708436240997,0.20154238526831972,0.17895634601798535,0.19776822006450287,0.1789563495527681,0.17274449756312202,0.18055577886405536,0.19549232066030758,0.17335039463730567,0.17335039463730567
"[0.34155296 0.38658969 0.71719089 0.         0.         0.78284328
 0.89186084 0.90525513 0.77831699 0.36170087 0.70297236 0.91715745
 0.18089571 1.         0.65617467 0.30464518 0.6320014  0.
 0.         0.2038116  0.78772917 0.         0.52984805 0.
 0.         0.80116998 0.85231429 0.         0.63243248 0.7569871
 0.         0.29762427 0.83907461 0.49822725 0.6915207  0.
 0.         0.         0.95087602 0.         0.97510854 0.
 0.         0.06281397 0.         0.         0.         0.
 0.62581151 0.15383138 0.44932831 0.         0.         0.29534146
 0.63891205 0.58542805 0.         0.         0.         0.12132603
 0.2416385  0.         0.21347804 0.         0.         0.
 0.         0.         0.         0.39034661 0.82765978 0.
 0.34179088 0.30425939 0.         0.91936775 0.54326475 0.02336157
 0.30321943 0.         0.         0.03131856 0.         0.57996489
 0.77938909 0.35255183 0.         0.77890637 0.         0.07686073
 0.61268489 0.         0.90958626 0.8066553  0.         0.72362915
 0.30988036 0.15906814 0.48868226 0.61809692]",0.14285714285714285,0,60,100,344.5416879119545,319.67376909124033,178.8154840350531,0.2534371299070177,0.2084418639220599,0.3151529220419038,0.21473799350203535,0.18186833480818573,0.17385423433903704,0.2813478096654951,0.1687496760012498,0.20873893131844054,0.16874968672773175,0.18850291611550948,0.1849792991234294,0.22297052282735877,0.17379243934259964,0.17379243934259964
"[0.9830053  0.         0.70247564 0.         0.58242582 0.64482864
 0.         0.         0.87186916 0.09086403 0.42167139 0.54705035
 0.33391058 0.68231082 0.84884062 0.64635885 0.33715477 1.
 0.28053185 0.01124153]",0.14285714285714285,0,80,20,115.68683261776167,101.47450321325539,55.74496300405326,0.18929135135749225,0.19070161902563984,0.3792424100109607,0.1691000739792438,0.11424593137897447,0.05515132810479084,0.4173188394673438,0.17363803218727375,0.14285127958512905,0.16903435573530018,0.16040807323681822,0.1539517996937524,0.13703116692861775,0.134353654082305,0.134353654082305
