actual_coef,non_sig_ratio,noise_level,informative_level,num_features_level,rf_mae,gb_mae,dnn_mae,err_rf_pi,err_gb_pi,err_dnn_pi,err_rf_sv,err_gb_sv,err_dnn_sv,err_dnn_ig,err_mean,err_median,err_mode,err_box,err_tau,err_major,err_kendall,err_spearman
"[0.         0.         0.         0.         0.         0.
 0.         0.03253932 0.32549538 0.         1.         0.
 0.         0.         0.         0.         0.         0.9712337
 0.         0.        ]",0.14285714285714285,0,20,20,14.116334999554956,12.718142048407866,27.805019167797685,0.013780262188297218,0.011034674516368062,0.13903048548932104,0.010930299578287322,0.008093936721556363,0.016677620561274174,0.1549023411721453,0.04796274935412424,0.012803099165029674,0.09118786806615597,0.020534990390987676,0.012638530422325673,0.06071166839799186,,
"[0.         0.84341198 0.77791817 0.         0.         0.
 0.         0.99286996 0.         0.46207464 0.50392558 0.
 0.         0.         0.         0.37781667 0.60328874 0.
 0.         0.         0.         1.         0.         0.
 0.63120231 0.         0.         0.         0.         0.
 0.         0.         0.         0.22882538 0.         0.
 0.         0.13946434 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.88669321 0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.14285714285714285,0,20,60,126.5202327175214,108.31948382980836,71.22424860884284,0.07632772145631696,0.07310398554604375,0.16443296801311455,0.05848032370170213,0.05075181613410582,0.07409617604471969,0.21689358039078613,0.07749303373046824,0.0636955279682811,0.07749304119675494,0.06122952575122813,0.059940110908368045,0.06739821899668377,0.06090127656994888,0.06090127656994888
"[0.         0.         0.         0.         0.         0.
 0.0909957  1.         0.         0.31591928 0.36907978 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.5084619  0.09359514 0.         0.
 0.11880185 0.         0.41759006 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.75446471 0.         0.21740187 0.         0.         0.
 0.97749391 0.         0.         0.         0.34262406 0.
 0.         0.         0.         0.         0.         0.
 0.         0.71643719 0.         0.         0.         0.
 0.         0.75520108 0.         0.10220401 0.         0.
 0.         0.02886295 0.         0.         0.04901577 0.
 0.         0.76529887 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.27503248 0.         0.         0.
 0.         0.         0.         0.34349707]",0.14285714285714285,0,20,100,121.19808296392479,111.22105794474345,77.82261799620471,0.049215560027220204,0.05110635898261538,0.1272705942740883,0.045015544084214085,0.03895834202417436,0.08776736377929907,0.18009335726122258,0.06690411917574876,0.044838894278209855,0.06690411931822635,0.050814172191826705,0.04855872608902731,0.055312529573269445,0.05973921733058793,0.05973921733058793
"[1.         0.         0.         0.48397449 0.91374478 0.
 0.         0.9570818  0.         0.         0.         0.92938703
 0.63217605 0.         0.         0.         0.         0.23324065
 0.         0.93718966]",0.14285714285714285,0,40,20,84.05241631950047,76.7387415829393,58.46361553400356,0.07818805004151524,0.07747720135832273,0.47591717739656314,0.06689673167373907,0.04803789349594873,0.021039255327521014,0.43162558137530616,0.10474960066909804,0.062163157714216065,0.10474959481424477,0.08046382826563894,0.08040776857126741,0.063967247554091,0.05295317624425855,0.05295317624425855
"[0.         0.29772656 0.         0.76745134 0.         0.31016593
 0.         0.         0.         0.         0.         0.7286944
 0.79036353 0.71113629 0.30186674 0.32684223 0.         0.11673121
 0.1153345  0.         0.42107923 0.         1.         0.79856758
 0.         0.         0.88991233 0.22901142 0.48174096 0.3745105
 0.         0.         0.13344295 0.         0.         0.
 0.46923568 0.         0.         0.         0.54437296 0.
 0.         0.         0.         0.         0.         0.
 0.33980737 0.         0.         0.         0.88151774 0.05037096
 0.         0.         0.         0.         0.33033523 0.        ]",0.14285714285714285,0,40,60,147.44403122805,131.8488097482751,79.99915302767246,0.11806382180812873,0.10646418801816414,0.29089048187840855,0.11927419168899252,0.09943227838496557,0.09776332737704113,0.18231300536693415,0.10102133472922491,0.11482446733056877,0.10102130952390713,0.09246576796731323,0.09336119346117816,0.12231530426087982,0.08672855874195869,0.08672855874195869
"[0.         0.         0.         0.         0.         0.35658963
 0.         0.25033082 0.         0.         0.67814471 0.
 0.99877143 0.53532003 0.         0.         0.02947209 0.73168711
 0.         0.94562531 0.         0.         0.18659157 0.0490786
 0.65071749 0.         0.54658573 0.         0.28768712 0.
 0.         0.87956882 0.2432295  0.77071837 0.         0.
 0.         0.         0.87313424 0.37994471 0.79478779 0.
 0.50008923 0.3108525  0.         0.         0.79728077 0.
 0.         0.         0.         0.         0.54961857 0.31898762
 0.         0.13086099 0.         0.         0.         0.
 0.83938599 0.28755257 0.16707492 0.         0.         0.
 0.         0.         0.96110225 0.         0.55698628 0.38262031
 0.         0.         0.         0.         0.         0.
 0.         0.         1.         0.36343564 0.66942467 0.
 0.         0.         0.32115853 0.95880465 0.         0.
 0.         0.30334195 0.11327699 0.9761647  0.         0.
 0.         0.         0.62730451 0.        ]",0.14285714285714285,0,40,100,224.22528815773651,215.36758058604133,121.85022538863905,0.16406759951462377,0.1673215388920822,0.28998799613552867,0.15954747064224648,0.13682945912982347,0.1600453326020241,0.19511562301303403,0.15382723410211427,0.16602562733203283,0.15382722839164406,0.1461442502115556,0.15017783035428237,0.16007270482251448,0.14066890698395051,0.14066890698395051
"[0.         0.51198756 0.62140674 0.50042934 0.26578921 0.21468308
 0.02458161 0.         0.         0.         0.67577076 1.
 0.72166223 0.2977165  0.59016472 0.         0.         0.
 0.38455321 0.        ]",0.14285714285714285,0,60,20,81.39681677502648,74.52115635990782,41.61109642658688,0.15398761705901948,0.1243086451536892,0.3055313886115076,0.12186484996290632,0.09290729435244141,0.01924043859713586,0.34511796686240503,0.10524312148421795,0.11674232291635558,0.1052431312162823,0.10347848643127293,0.12301500461345298,0.14405666889188257,0.09737118121846478,0.09737118121846478
"[0.74700618 0.         0.57305615 0.010911   0.         0.
 0.45811001 0.48519858 0.38265932 0.7594504  0.         0.81202824
 0.69429672 0.         0.5624427  0.52554937 0.52565537 0.
 0.         0.37654754 0.         0.88654312 0.7835399  0.79337717
 0.         0.73420115 0.         0.89275893 0.         0.29721007
 0.13187583 0.6801104  0.         0.17643015 0.60416518 0.
 0.         0.50004041 0.22931639 0.         0.45056886 0.
 0.         0.56333428 0.51909109 0.26900534 0.         0.
 0.71904477 0.60813158 0.60009925 0.         0.         0.26259027
 0.         0.43036607 1.         0.         0.         0.36501639]",0.14285714285714285,0,60,60,192.34215303644018,180.4159969354418,100.1943061686915,0.22787770170706423,0.2117568328457561,0.2818121493329259,0.21017522423430615,0.1804329768797233,0.16564341134520583,0.2877463153592751,0.17821922230709303,0.2088538088384091,0.17821919710559955,0.19015684035768146,0.20245994973937712,0.1996908566747668,0.19781369825290557,0.19781369825290557
"[0.         0.91164764 1.         0.1529899  0.28550964 0.35949476
 0.71801925 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.61542101 0.12668334
 0.         0.         0.93740563 0.93889748 0.         0.702038
 0.66487462 0.81719711 0.06740014 0.         0.34354316 0.71351795
 0.50117362 0.91003248 0.         0.61690891 0.28825441 0.60763766
 0.         0.         0.90000775 0.07298686 0.14684806 0.
 0.7651764  0.27370119 0.21772355 0.92563801 0.         0.70659342
 0.         0.78218133 0.         0.07135274 0.02265301 0.
 0.9546322  0.         0.95464512 0.52006297 0.28067866 0.75708109
 0.         0.85140285 0.         0.         0.         0.
 0.         0.06637915 0.00452711 0.37588227 0.         0.4417137
 0.88032159 0.         0.54826752 0.73891579 0.         0.
 0.92153716 0.87849692 0.06506284 0.         0.00203463 0.56413189
 0.16906153 0.         0.         0.90374177 0.         0.14139676
 0.43485088 0.37807839 0.         0.         0.         0.04779336
 0.9512459  0.08228989 0.25040247 0.89713063]",0.14285714285714285,0,60,100,292.0221168026773,282.1382047851089,136.43169697728135,0.23386749900764706,0.24379538797171946,0.32019278102178783,0.24116727161258705,0.2040116114180981,0.18572368068708886,0.25670103804593813,0.18391604110646503,0.2090407785376582,0.1839160550189203,0.1861772904180899,0.186513216916968,0.2372800725311075,0.18188190137461865,0.18188190137461865
"[0.65796226 1.         0.44241775 0.39523966 0.18536327 0.18167816
 0.47081891 0.         0.45440293 0.76500038 0.         0.57468733
 0.39731254 0.         0.19894834 0.51718007 0.         0.10490184
 0.11722552 0.02950843]",0.14285714285714285,0,80,20,90.06955650231002,77.71002594735073,50.06556188380448,0.1788091531965738,0.15487988943197903,0.27763690630414356,0.15195987686422896,0.10531213260982278,0.021322395692273143,0.22976196898481654,0.10217090891032479,0.14531442405603218,0.1021709083182537,0.10914900596390383,0.11204724163225699,0.13927374161731504,0.12060002034142905,0.12060002034142905
