actual_coef,non_sig_ratio,noise_level,informative_level,num_features_level,rf_mae,gb_mae,dnn_mae,err_rf_pi,err_gb_pi,err_dnn_pi,err_rf_sv,err_gb_sv,err_dnn_sv,err_dnn_ig,err_mean,err_median,err_mode,err_box,err_tau,err_major,err_kendall,err_spearman
"[0.         0.         0.         1.         0.         0.
 0.         0.         0.5756567  0.         0.         0.
 0.         0.         0.29629242 0.70513499 0.         0.
 0.         0.        ]",0.14285714285714285,0,20,20,19.201474909162428,15.46827572235093,28.575594237933284,0.022264586783681907,0.014176563640320989,0.2553848225797731,0.019565652926890047,0.011665828842001149,0.013847075841329364,0.1936332946665627,0.060617868676497336,0.01724152426893804,0.06061786857738203,0.024761049204011475,0.02003386586554024,0.03730641207417242,,
"[0.         0.09264365 0.         0.         0.         0.
 0.         0.         0.25378966 0.19514438 0.         0.
 0.         0.         0.09778329 0.         0.         0.
 1.         0.         0.         0.         0.         0.
 0.57254983 0.         0.         0.77719618 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.41758632 0.
 0.98222818 0.         0.         0.         0.         0.
 0.42188296 0.         0.         0.70986553 0.         0.
 0.         0.         0.01202773 0.         0.         0.        ]",0.14285714285714285,0,20,60,74.09925951595055,69.93012142517274,52.84350411095589,0.041881344803024405,0.04024698846709948,0.14792269884878637,0.03808968961583556,0.03196451433563643,0.04834535954315574,0.11395994448113503,0.04962987200363553,0.03721980275472582,0.049629863950083175,0.04603133060812657,0.044112713623040464,0.04823983507014156,0.035569068475080706,0.035569068475080706
"[0.         0.         0.99963046 0.         0.         0.11280033
 0.         0.         0.         0.         0.43318969 0.
 0.         0.19704459 0.         0.         0.         0.37083994
 0.         0.         0.         0.         0.76413403 0.
 1.         0.75002951 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.98758203 0.         0.         0.06562428
 0.         0.         0.         0.         0.         0.
 0.         0.55423228 0.58102155 0.56974218 0.         0.
 0.         0.         0.         0.         0.         0.
 0.55381406 0.         0.         0.         0.         0.
 0.         0.         0.43746594 0.         0.         0.
 0.52140408 0.         0.85850975 0.         0.         0.01090942
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.20070836 0.
 0.95368061 0.         0.         0.        ]",0.14285714285714285,0,20,100,139.49121021926476,130.20537181428625,94.24235321640495,0.06867975882914983,0.07519165216202617,0.1913222311546622,0.05740960860980193,0.054519142150170286,0.09211247732596002,0.15020845995408122,0.0731670358258029,0.0698778974642016,0.07316702685115914,0.07220948495282435,0.07388949591018906,0.06283233521814847,0.06297842982322913,0.06297842982322913
"[0.         0.21003051 0.68195851 0.45791308 0.         0.
 0.73799186 1.         0.26893944 0.         0.         0.
 0.         0.         0.         0.36660088 0.         0.
 0.         0.25739103]",0.14285714285714285,0,40,20,45.31350225341212,36.91285520726624,38.667428072579376,0.07860804172718025,0.059203248170563105,0.3541899121553887,0.06265702738368285,0.04179596390048337,0.03436719724664936,0.20778645024507886,0.06524885415558497,0.05122338173607488,0.06524885826241808,0.05424445961142606,0.04906010840018397,0.10343441627579279,0.04202901386886228,0.0731737688917404
"[0.27644943 0.05780927 0.93880625 0.         0.         0.95939256
 0.         0.91422704 0.         0.54534367 0.28930911 0.
 0.         0.439583   0.         0.         0.         0.08130307
 0.         0.         0.         0.         0.         0.
 0.         0.         1.         0.         0.         0.52518668
 0.23038814 0.15887782 0.80648822 0.60248577 0.         0.
 0.02759889 0.         0.         0.08572658 0.         0.
 0.         0.         0.62402654 0.         0.         0.
 0.         0.0280535  0.80280263 0.         0.96998748 0.00382815
 0.         0.56895125 0.         0.04736674 0.         0.        ]",0.14285714285714285,0,40,60,155.67744823179746,134.61149106029094,77.7992112511793,0.11351314075236846,0.10984520274564667,0.27862644412339,0.106476833238452,0.08450504439974231,0.0782990523380945,0.2900272487805259,0.12652514667713952,0.10864831556567886,0.12652512395096469,0.11312919472931801,0.11297296671311488,0.10510735674057978,0.09296249975018095,0.09296249975018095
"[0.         0.         0.04580486 0.         0.         0.
 0.03012128 0.         0.53932278 0.         0.         0.
 0.         0.35266402 0.19578611 0.         0.84348826 0.
 0.37248336 0.03388801 0.         0.         0.36481686 0.97856367
 0.03266718 0.         0.         0.         0.         0.
 0.         0.08103549 0.         0.         0.98751927 0.
 0.         0.47439964 0.         0.06559621 0.53947205 0.
 0.4602954  0.58571203 0.         0.         0.41043453 0.
 0.64042699 0.         0.30625879 0.         0.         0.16616293
 0.         0.28181237 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.03646009 0.         0.27858956 0.         0.91385332 0.
 0.         0.         0.33056541 0.18280348 0.         0.18383973
 0.         0.16296354 0.         0.         0.2831535  0.26340392
 0.10754912 0.         0.88227742 0.         0.4454547  0.
 0.         0.9714846  0.         0.82861222 0.         0.73876332
 0.         1.         0.39768033 0.        ]",0.14285714285714285,0,40,100,183.2571320218626,183.72901618743424,127.40623714767226,0.12250483846549175,0.12915044444595156,0.22142631172858493,0.10616099818619322,0.09880481295967965,0.11729122341674764,0.18139488711138546,0.10248406022980468,0.1197175323912162,0.10248411549870669,0.10950977328003017,0.11823881387751334,0.10364356289691899,0.09998128812300756,0.09998128812300756
"[0.48237246 0.         0.55719622 0.83846936 0.32441454 0.64890907
 0.         0.         0.         0.         0.17655033 0.01882415
 0.         0.         0.         0.85451488 0.88988218 0.20154669
 0.29567268 1.        ]",0.14285714285714285,0,60,20,83.67673197566246,68.84277346195978,79.21297003889457,0.11281270014259097,0.11215045312600813,0.288811084867754,0.10358176348012431,0.07761010257970043,0.01898186683084308,0.28540759228110985,0.10652073729883789,0.09382248861849592,0.17883981193055246,0.1087847761447032,0.11062625791853191,0.09938211742858209,0.08209155171377297,0.08209155171377297
"[0.97900699 0.87238101 0.         0.02296578 0.         0.57562743
 0.97849737 0.13297579 0.         0.78843186 0.90092946 0.24145634
 0.         0.         0.         0.10124374 0.88373478 0.
 0.80574262 0.         0.         0.09863923 0.41244873 0.80752099
 0.64794331 0.33821499 0.88276371 0.         0.65382778 0.
 0.         0.         0.17314758 0.52728546 0.         0.
 0.81627206 0.41601269 0.         0.82674797 0.95575136 0.
 0.13080836 0.30216191 0.83821429 0.99918651 0.         0.51560315
 0.45249688 1.         0.46690255 0.         0.81733023 0.30764141
 0.72006528 0.         0.         0.         0.         0.        ]",0.14285714285714285,0,60,60,231.69446372526966,210.8352116610061,112.17105053931267,0.2706302029071862,0.22901512411105532,0.324418643530108,0.26487696545747347,0.2345507685286927,0.12609668194138127,0.28265476809056383,0.19313250574495996,0.2480721077449365,0.19313280911761677,0.20483233291920108,0.2102313117021925,0.2655421477539285,0.20633207501119075,0.20633207501119075
"[0.07197797 0.         0.         0.12025091 0.65123831 0.
 0.         0.         0.         0.         1.         0.
 0.39565538 0.         0.         0.         0.71325252 0.22425159
 0.         0.27106907 0.         0.         0.10243801 0.
 0.08517526 0.         0.36733319 0.85747419 0.81363825 0.49269353
 0.27961794 0.78183355 0.30952263 0.19629943 0.         0.31867024
 0.41956275 0.16438424 0.07272454 0.54009358 0.         0.87700339
 0.71164345 0.5467594  0.49616278 0.         0.20040552 0.00288291
 0.03832503 0.41501492 0.86220082 0.         0.05169914 0.
 0.         0.87248716 0.         0.02094811 0.65042599 0.
 0.8008527  0.         0.         0.99697874 0.62516562 0.98397434
 0.         0.01360027 0.81195996 0.73804195 0.         0.02210705
 0.         0.4108297  0.         0.         0.         0.
 0.50839588 0.15988933 0.305605   0.37644479 0.56862001 0.56256384
 0.98679577 0.         0.55766599 0.59624772 0.         0.74000183
 0.4694746  0.         0.472909   0.78828454 0.         0.63810572
 0.04713273 0.         0.         0.        ]",0.14285714285714285,0,60,100,282.82361296441036,277.1893250914488,129.55416312660003,0.20689880093781704,0.20574633967594333,0.2972928368618144,0.22139338737590086,0.19964388235393327,0.14354645757773168,0.25298115060368387,0.17379985875325157,0.1983847773205889,0.17379991176055923,0.18195429707603966,0.18199302909746293,0.19739466760763416,0.17046680687085633,0.17826252138631493
"[0.96779352 0.30988652 0.         0.21154006 0.16670072 0.9643802
 0.         0.60205626 0.64059488 0.         0.13686086 0.75571063
 0.06959528 1.         0.1764284  0.         0.73329701 0.44687476
 0.25861691 0.88023164]",0.14285714285714285,0,80,20,107.65186303244707,89.35649074973514,61.43194064933907,0.19192240843534852,0.14884547624560832,0.23832702275149073,0.19880385072758539,0.1439457607183733,0.04189060292029738,0.41127733064359695,0.1346314156656478,0.1639809621942888,0.1346313236369827,0.16030651166223425,0.17615789229040973,0.14408497261238637,0.12141221121327612,0.12141221121327612
